Time;X_Pos;Y_Pos;Z_Pos;Velocity;Wheel angle;Power;Brake;
1.112;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.113;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.114;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.116;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.117;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.118;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.126;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.128;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.129;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.130;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.131;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.132;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.133;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.134;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.142;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.144;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.145;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.146;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.147;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.149;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.150;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.151;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.159;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.161;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.162;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.164;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.165;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.166;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.167;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.168;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.176;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.177;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.178;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.180;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.181;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.182;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.183;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.184;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.185;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.192;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.194;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.195;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.196;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.197;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.200;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.201;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.202;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.207;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.209;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.210;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.211;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.212;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.213;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.214;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.215;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.216;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.217;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.226;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.228;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.229;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.230;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.231;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.232;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.233;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.234;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.243;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.244;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.245;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.246;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.247;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.248;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.250;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.251;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.252;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.259;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.261;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.262;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.263;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.264;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.265;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.266;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.267;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.276;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.277;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.279;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.280;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.281;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.282;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.283;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.284;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.285;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.293;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.294;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.295;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.296;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.297;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.298;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.300;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.301;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.309;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.310;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.312;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.313;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.314;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.315;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.316;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.318;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.319;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.326;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.328;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.329;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.330;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.332;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.333;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.334;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.343;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.344;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.345;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.346;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.348;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.349;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.350;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.351;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.359;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.360;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.362;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.363;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.364;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.365;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.366;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.367;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.368;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.375;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.377;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.378;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.379;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.380;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.381;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.382;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.383;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.384;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.393;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.394;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.395;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.396;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.397;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.399;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.399;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.400;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.409;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.411;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.412;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.413;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.414;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.415;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.416;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.417;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.418;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.426;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.428;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.429;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.430;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.431;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.432;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.433;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.443;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.445;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.446;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.447;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.448;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.449;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.450;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.460;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.461;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.462;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.464;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.465;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.466;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.467;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.468;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.476;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.478;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.479;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.480;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.481;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.482;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.483;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.485;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.493;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.494;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.495;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.497;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.498;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.500;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.501;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.503;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.510;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.512;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.514;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.516;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.517;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.519;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.526;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.527;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.528;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.529;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.531;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.532;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.533;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.534;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.535;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.543;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.544;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.545;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.546;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
1.547;0.000;3.208;-0.002;0.00;0.000;0.000;0.000;
